"Field Experts","フィールド専門家","","",""
"Customer Support","カスタマーサポート","","",""
"Forgot Password","パスワードが忘れました","","",""
"Reset Password","リセットパスワード","","",""
"Terms And Conditions","規約と条件","","",""
"Data Privacy Statement","データプライバシーステートメント","","",""
"Don\'t have an account? Signup","アカウントはありませんか。サインアップ","","",""
"Forgot Password ?","パスワードが忘れましたか","","",""
"Login","ログイン","","",""
"Forgot Password?","パスワードが忘れましたか","","",""
"By logging in you agree to the Terms Of Use and to our Privacy and Cookie Policy. You may select to change your browser setting and restrict cookies.","ログインすることでお客様は弊社の使用及びプライバシーとクッキー政策と賛成だと言うことです。ブラウザー設定の変更を選択してクッキーを制限することができます。","","",""
"Backout Start","開始バックアウト","","",""
"Category","カテゴリ","","",""
"Change Description","変更記述","","",""
"Select Change Description","変更記述を選択する","","",""
"Checking for updates...","アップデートの為にチェックしている","","",""
"Coming Soon..","すぐ来ています","","",""
"Configuration ID","コンフィギュレーションID","","",""
"Configuration ID Type","コンフィギュレーションIDタイプ","","",""
"Submit","提出","","",""
"Confirm Password","パスワードを確認する","","",""
"Please enter password","パスワードを入力してください","","",""
"Please enter verification code","検証コードを入力してください","","",""
"Invalid verification code","無効な検証コード","","",""
"Password mismatch","パスワードが一致しません","","",""
"Enter the Verification Code received on the registered Email Id","登録済みのメールIDでもらった検証コードを入力してください","","",""
"New Password","新しいパスワード","","",""
"-The password must be atleast 8 charachters","パスワードはせめて8文字でなければなりません","","",""
"-Includes number(0-9)","数字は盛り込んでいる（０－９）","","",""
"-Includes uppercase letter(A-Z)","アッパケース文字盛り込む（A-Z）","","",""
"-Includes lowercase letter(a-z) and","ロアーケース文字盛り込む","","",""
"-Includes characters('@#$%^&()_+)","キャラクター盛り込む('@#$%^&()_+)","","",""
"Resend Verification Code","検証コードを再送","","",""
"Verification Code","検証コード","","",""
"No places found, because location permission is disabled.","位置許可は無可能にしておりますから所が見つかりません","","",""
"Default Location","ディフオルト位置","","",""
"Send Verification Code","検証コードを送る","","",""
"Please enter User Id","ユーザーIDを入力してください","","",""
"Invalid User Id, try again.","無効なユーザーID、もう一度お試ください。","","",""
"If you are having trouble to access the registered User ID, contact our Customer Service team.","登録されたユーザーIDをアクセスすることが問題になっている場合カスタマーサービスチームにご連絡ください","","",""
"We will send you a verification code to your email address.Please enter your user id below:","弊社はお客様のメールアドレスに検証コードをお送りいたします。以下にユーザーIDを入力してください。","","",""
"OTP generated successfully","OTPは無事に生成されました","","",""
"Guest","お客様","","",""
"ID","ID","","",""
"Implementer Email ID","実行者メールID","","",""
"Implementer Mobile","実行者携帯","","",""
"Location Details Tier 1","位置詳細ティーアル１","","",""
"Location Details Tier 2","位置詳細ティーアル２","","",""
"Authorizing...","権限を与えている…","","",""
"Login","ログイン","","",""
"Non Service Affecting","非サービス影響している","","",""
"Operational Categorization Tier 1","操作的カテゴリ化ティーアル１","","",""
"Operational Categorization Tier 2","操作的カテゴリ化ティーアル２","","",""
"Operational Categorization Tier 3","操作的カテゴリ化ティーアル３","","",""
"Order No.","オーダー番号","","",""
"Password","パスワード","","",""
"Pick selected Location","選択された位置ピックする","","",""
"Planned End","予定された終了","","",""
"Planned Start","予定された開始","","",""
"Planned work not found !!!","予定された工事が見つかりませんでした","","",""
"Product Categorization Tier 1","プロダクトカテゴリ化ティーアル１","","",""
"Product Categorization Tier 2","プロダクトカテゴリ化ティーアル２","","",""
"Product Categorization Tier 3","プロダクトカテゴリ化ティーアル３","","",""
"Raise","生成","","",""
"Raise Colt Planned Work for Maintenance","メインテナンスに対してのColtの予定されたワークを生成してください。","","",""
"Remember me","私を記憶してください。","","",""
"Requestor Email ID","要請者メールID","","",""
"Login Again","もう一度ログイン","","",""
"Password has been changed successfully","パスワードが無事に変更されました","","",""
"Success!","成功","","",""
"Service Affecting","サービスに影響が与えている","","",""
"Site Address","サイトアドレス","","",""
"Standard Ref from Change Catalogue","変更カタログからの規格リファレンス","","",""
"Submitting...","提出中","","",""
"Template","テムプレート","","",""
"Enter your Template name","自分のテムプレート名を入力してください","","",""
"Templates not found !!!","テムプレートは見つかりませんでした！！！","","",""
"By logging in you agree to the Terms Of Use and to our Privacy and Cookie Policy. You may select to change your browser setting and restrict cookies.","ログインすることであなたは弊社の使用及びプライバシーとクッキー政策と賛成だと言うことです。ブラウザー設定の変更を選択してクッキーを制限することができます。","","",""
"Customer Support","カスタマーサポート","","",""
"Terms And Conditions","規約と条件","","",""
"Incidents","出来事","","",""
"User ID","ユーザーID","","",""
"View","ビュー","","",""
"View and Track Colt Planned work","Colt予定されたワークをビュー及びトラック。","","",""
"Templates","テムプレート","","",""
"Refer the saved planned work templates","保存された「予定されたワーク」テムプレートを参照してください。","","",""
"Welcome","ようこそ","","",""
"PLANNED START","予定された開始","","",""
"PLANNED END","予定された終了","","",""
"BACK OUT START","バックアウトスタート","","",""
"Incorrect Start Planned Date. It should be greater than 15 minutes from Current time.","開始「予定された日付」は正しくありません。それは現在の時間より十五分大きいでなければなりません。","","",""
"Incorrect End Planned Date. It should be greater than Start Planned Date.","終了「予定された日付」は正しくありません。それは開始「予定された日付」より大きいでなければなりません。","","",""
"Incorrect Backout Start. It should be in between Start Planned Date and End Planned Date.","バックアウトスタートは正しくありません。それは開始予定日と終了予定日の間にいなければなりません。","","",""
"Please select a category","カテゴリを選択してください","","",""
"Please select a change description","変更記述を選択してください","","",""
"Please select a location details tier 1","位置詳細ティーアル１を選択してください","","",""
"Please select a location details tier 2","位置詳細ティーアル２を選択してください","","",""
"Please select a operational categorization tier 1","操作的カテゴリ化ティーアル１を選択してください","","",""
"Please select a operational categorization tier 2","操作的カテゴリ化ティーアル２を選択してください","","",""
"Please select a operational categorization tier 3","操作的カテゴリ化ティーアル３を選択してください","","",""
"Please select a product categorization tier 1","プロダクトカテゴリ化ティーアル１を選択してください","","",""
"Please select a product categorization tier 2","プロダクトカテゴリ化ティーアル２を選択してください","","",""
"Please select a product categorization tier 3","プロダクトカテゴリ化ティーアル３を選択してください","","",""
"Please fill Standard Ref From Change Catalogue","変更カタログから規格リファレンスを記入ください","","",""
"Please fill Configuration ID Type","コンフィグレーションIDタイプを記入してください","","",""
"Please fill Planned End","予定された終了を記入してください","","",""
"Please fill Backout Start","バックアウト開始を記入してください。","","",""
"Please fill Order No.","オーダー番号を記入してください","","",""
"Please fill Requester Email ID","要請者メールIDを記入してください","","",""
"Please fill Implementor Email ID","実行者のメールIDを記入してください。","","",""
"Please fill Implementor Mobile no.","実行者の携帯番号を記入してください。","","",""
"Please fill Site Address","サイトアドレスを記入してください","","",""
"Please fill Configuration ID","コンフィグレーションIDを記入してください","","",""
"Please fill a valid Email ID","有効なメールIDを記入してください","","",""
"Please fill a valid Mobile no.","有効な携帯番号を記入してください","","",""
"User ID is empty","ユーザーIDは空です","","",""
"Password is empty","パスワードは空です","","",""
"Device is not connected to Network","デバイスはネットワークに繋がれていません。","","",""
"Login Failed","ログイン失敗しました。","","",""
"Invalid Username/password , please try again","無効なユーザーID/パスワード、またお試しください。","","",""
"10 wrong attempts , please try after 15 mins","十回間違った試み。十五分後お試みください。","","",""
"Details","詳細","","",""
"Your selected time in GMT is :","あなたが選択された時間はGMT：","","",""
"Congratulations !!!","おめでとうございます。","","",""
"Your Generated Id is :","お客様の生成されたIDは:","","",""
"item","項目","","",""
"position","位置","","",""
"Are you sure you want to Logout?","ログアウトしたいのは確かですか","","",""
"Ok","Ok","","",""
"Cancel","キャンセル","","",""
"Default","ディフォルト","","",""
"GMT","GMT","","",""
"Template name already exists","テムプレート名既存しております","","",""
"Template Name","テムプレート名","","",""
"Fresh","フレッシュ","","",""
"Oops!!! Something went wrong. Please try again in sometime.","あらー！！！何かがおかしかった。しばらくしてからもう一度お試しください。","","",""
"Enter Site Name as appears in XNG","XNGに表しているようにサイト名を入力してください","","",""
"Please Select","選択してください","","",""
"logged in status","ログインしたステータス","","",""
"logged in","ログインされた","","",""
"Greenwich Mean Time","グリヌイッチミーンタイム","","",""
"GMT+00:00","GMT+00:00","","",""
"Want to save as a Template ?","テムプレートとして保存したいですか","","",""
"Choose a Timezone.","選択タイムゾン","","",""
"Fetching...","取り出ししている．．．","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"Enter the OTP received on the registered Email id","","","",""
"By logging in you agree to the ","","","",""
"Terms of Use","","","",""
"and to our","","","",""
"Privacy and cookie Policy","","","",""
"You may select to change your browser setting and restrict cookies.","","","",""
"Don't have an account?","","","",""
"Sign up","","","",""
"Biometric Usage Authentication","","","",""
"Tap Next to enable the FaceID, TouchID or PassCode Sign-In","","","",""
"If you skip this option you will have to reinstall the app to enable it again.","","","",""
"Skip Button","","","",""
"Next","","","",""
"Colt Online Sign-In","","","",""
"  LogOut  ","","","",""
"Proceed with your Touch ID","","","",""
"  Initiate Face Scan  ","","","",""
"Note: Colt does not save any personal data. All Biometric/Passcode details are verified through device OS.","","","",""
"Terms of use","","","",""
"Planned Work","","","",""
"Incidents","","","",""
"Setting","","","",""
"Language Setting","","","",""
" Profile","","","",""
"Please should be as follows:+prefix, followed by the country code,followed by the phone number. eg. for UK number 02070393900 enter +442070393900 ","","","",""
"Title","","","",""
"First Name*","","","",""
"Last Name*","","","",""
"Phone Number*","","","",""
"Mobile","","","",""
"Email*","","","",""
"Preferred Contact Method","","","",""
"Display Language","","","",""
"Current Password","","","",""
"New Password","","","",""
"Change Password","","","",""
"Invalid email address","","","",""
"Invalid email address","","","",""
"Enter a password","","","",""
"Please enter User id","","","",""
"Something went wrong. Please try again","","","",""
"Please enter OTP","","","",""
"Please enter current password","","","",""
"Please enter new password","","","",""
"The password must have at least one lowercase letter","","","",""
"The password must have at least one uppercase letter","","","",""
"The password must have at least one number","","","",""
"The password must have at least one special character","","","",""
"Please enter confirm password","","","",""
"New password and confirm password is not equal","","","",""
"The password must be atleast 8 characters","","","",""
"Please enter first name","","","",""
"Please enter last name","","","",""
"please enter phone number","","","",""
"Please make sure your device is connected to the Internet","","","",""
"Server is not responding. Please try again later","","","",""
"Invalid response from server","","","",""
"Select Option Title","","","",""
"Okay","","","",""
"Select Option Language","","","",""
"Logout","","","",""
"Support","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
